stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\code\I2P2\CSI2P-Final-Project-Template\SourceCode\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   1.76812] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76813] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76814] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76814] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76815] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.76816] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76817] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.76817] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76818] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.76819] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76820] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   1.76820] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76821] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76826] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76827] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76828] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76828] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.76829] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76830] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.76830] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76831] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.76832] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76833] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   1.76833] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76834] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76835] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76835] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76836] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76837] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.76838] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76838] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.76839] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76840] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.76840] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76841] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   1.76842] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76843] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76843] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76844] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76845] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76845] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.76846] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76847] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.76848] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76848] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.76849] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76850] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   1.76851] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76851] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76852] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76853] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76854] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76854] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.76855] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76856] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.76856] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76857] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.76858] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76859] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   1.76860] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76861] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76861] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76862] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76863] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76864] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.76864] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76865] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.76866] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76867] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.76867] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76868] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   1.76869] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76869] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76870] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76871] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76871] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76872] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.76873] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76874] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.76875] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76875] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.76876] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76877] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   1.76877] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76878] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76879] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76880] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   1.76880] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76881] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   1.76882] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76882] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   1.76883] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76884] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   1.76884] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76885] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   1.76886] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76887] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76887] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76888] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76889] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76890] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76890] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76891] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76892] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76893] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76893] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76894] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76895] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76895] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76897] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76898] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76899] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76900] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76900] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76901] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76902] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76903] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76903] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76904] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76905] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76905] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76906] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76907] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76908] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76908] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76909] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76910] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76910] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76911] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76913] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76913] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76914] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76915] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76915] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76916] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76917] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76918] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76918] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76919] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76920] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76921] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76921] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76922] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76923] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76924] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76924] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76925] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76926] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76927] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76927] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76928] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76929] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76929] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76930] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76931] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76932] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76932] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76933] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76934] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76934] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76935] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76936] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76937] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76937] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76938] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76939] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76940] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76940] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76941] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76942] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76943] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76943] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76944] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76945] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76946] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76946] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76947] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76948] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76948] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76949] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76950] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76951] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.76951] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76952] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76953] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76953] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76954] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76955] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76956] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76956] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   1.76957] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.76958] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76959] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.76959] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76960] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.76961] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76961] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.76962] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76963] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.76963] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76964] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.76965] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76966] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   1.76967] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76967] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.76968] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76969] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.76969] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76970] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.76971] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76972] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.76972] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76973] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.76974] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76974] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   1.76975] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76976] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.76977] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76977] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.76978] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76979] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.76979] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76980] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.76981] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76982] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   1.76982] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76983] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   1.76984] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76984] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.76985] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.76986] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   1.76987] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76988] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   1.76989] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76990] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   1.76990] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   1.76991] Score is : 589
